
0.10	0.00000
0.20	0.00000
0.30	0.00000
0.40	0.00000
0.50	0.00031
0.60	0.00000
0.70	0.00000
0.80	0.00000
0.90	0.00000
1.00	0.00031
1.10	0.00091
1.20	0.00131
1.30	0.00158
1.40	0.00066
1.50	0.00066
1.60	0.00104
1.70	0.00113
1.80	0.00270
1.90	0.00384
2.00	0.00910
2.10	0.00494
2.20	0.00422
2.30	0.01957
2.40	0.00647
2.50	0.01008
2.60	0.01910
2.70	0.00248
2.80	0.00495
2.90	0.00328
3.00	0.00237
3.10	0.00309
3.20	0.00412
3.30	0.00067
3.40	0.00100
3.50	0.00038
3.60	0.00249
3.70	0.00054
3.80	0.00319
3.90	0.00152
4.00	0.00225
4.10	0.00090
4.20	0.00277
4.30	0.00048
4.40	0.00199
4.50	0.00094
4.60	0.00013
4.70	0.00201
4.80	0.00422
4.90	0.00022
5.00	0.00064
